id,questionText,difficulty,type,options,correctAnswerIndex
e1,"What is the plural form of ""cat""?",easy,english,"[""Cats"", ""Cates"", ""Cat's"", ""Cats'""]",0
e2,"Which word is a synonym for ""big""?",easy,english,"[""Small"", ""Large"", ""Tiny"", ""Short""]",1
e3,"What is the past tense of ""run""?",easy,english,"[""Ran"", ""Run"", ""Running"", ""Runned""]",0
e4,Which sentence is correct?,easy,english,"[""She go to school."", ""She goes to school."", ""She going to school."", ""She gone to school.""]",1
e5,What is an adjective?,easy,english,"[""A naming word"", ""A describing word"", ""An action word"", ""A connecting word""]",1
e6,"What is the opposite of ""hot""?",easy,english,"[""Warm"", ""Cold"", ""Cool"", ""Hotter""]",1
e7,Which word is a noun?,easy,english,"[""Run"", ""Big"", ""Table"", ""Quickly""]",2
e8,What is the correct spelling?,easy,english,"[""Recieve"", ""Receive"", ""Receeve"", ""Recive""]",1
e9,Which is a complete sentence?,easy,english,"[""The dog."", ""The dog runs."", ""Runs fast."", ""In the park.""]",1
e10,"What is the singular form of ""children""?",easy,english,"[""Child"", ""Childs"", ""Children"", ""Childes""]",0
e11,"Which word means ""happy""?",easy,english,"[""Sad"", ""Joyful"", ""Angry"", ""Tired""]",1
e12,"What is the past tense of ""go""?",easy,english,"[""Goes"", ""Going"", ""Went"", ""Gone""]",2
e13,Which word is a verb?,easy,english,"[""House"", ""Jump"", ""Blue"", ""Soft""]",1
e14,What punctuation ends a declarative sentence?,easy,english,"[""Comma"", ""Period"", ""Question mark"", ""Exclamation point""]",1
e15,Which word is an adverb?,easy,english,"[""Quick"", ""Quickly"", ""Book"", ""Red""]",1
e16,"What is the plural of ""book""?",easy,english,"[""Books"", ""Bookes"", ""Book's"", ""Books'""]",0
e17,Which is a pronoun?,easy,english,"[""Table"", ""She"", ""Run"", ""Big""]",1
e18,"What is a synonym for ""fast""?",easy,english,"[""Slow"", ""Quick"", ""Heavy"", ""Small""]",1
e19,Which sentence uses correct capitalization?,easy,english,"[""i live in new york."", ""I live in New York."", ""I live in new york."", ""i live in New York.""]",1
e20,"What is the past tense of ""eat""?",easy,english,"[""Eated"", ""Ate"", ""Eaten"", ""Eating""]",1
e21,Which word is a preposition?,easy,english,"[""Under"", ""Sing"", ""Happy"", ""Dog""]",0
e22,"What is the opposite of ""big""?",easy,english,"[""Large"", ""Small"", ""Tall"", ""Wide""]",1
e23,Which is a complete sentence?,easy,english,"[""The cat sleeps."", ""The cat."", ""Sleeps on the mat."", ""On the mat.""]",0
e24,"What is the correct spelling of the number ""40""?",easy,english,"[""Fourty"", ""Forty"", ""Fortey"", ""Forte""]",1
e25,Which word is an adjective?,easy,english,"[""Run"", ""Blue"", ""Sing"", ""Table""]",1
e26,"What is the plural of ""mouse"" (animal)?",easy,english,"[""Mouses"", ""Mice"", ""Mouse's"", ""Mices""]",1
e27,Which sentence is in the present tense?,easy,english,"[""She walked to school."", ""She walks to school."", ""She will walk to school."", ""She was walking to school.""]",1
e28,"What is a synonym for ""sad""?",easy,english,"[""Happy"", ""Unhappy"", ""Angry"", ""Excited""]",1
e29,Which word is a conjunction?,easy,english,"[""Big"", ""And"", ""Run"", ""Table""]",1
e30,"What is the past tense of ""sing""?",easy,english,"[""Sang"", ""Sung"", ""Singing"", ""Singed""]",0
e31,"What is the subject in the sentence: ""The dog chased the cat.""?",medium,english,"[""The cat"", ""The dog"", ""Chased"", ""The""]",1
e32,"Which word is a synonym for ""difficult""?",medium,english,"[""Easy"", ""Hard"", ""Simple"", ""Clear""]",1
e33,"What is the correct form of the verb in: ""She ___ to the store yesterday.""?",medium,english,"[""Go"", ""Goes"", ""Went"", ""Going""]",2
e34,Which sentence uses correct subject-verb agreement?,medium,english,"[""The team are winning."", ""The team is winning."", ""The teams is winning."", ""The team were winning.""]",1
e35,"What is an antonym for ""generous""?",medium,english,"[""Kind"", ""Selfish"", ""Giving"", ""Helpful""]",1
e36,Which sentence is in the passive voice?,medium,english,"[""She wrote the book."", ""The book was written by her."", ""She is writing the book."", ""The book is being read.""]",1
e37,"What is the meaning of the word ""vivid""?",medium,english,"[""Dull"", ""Bright"", ""Quiet"", ""Weak""]",1
e38,Which sentence uses a comma correctly?,medium,english,"[""I have two cats, and a dog."", ""I have two cats and, a dog."", ""I have, two cats and a dog."", ""I have two cats and a dog""]",0
e39,"What is the correct plural form of ""deer""?",medium,english,"[""Deers"", ""Deer"", ""Deeres"", ""Deer's""]",1
e40,"Which word is a gerund in: ""Swimming is fun.""?",medium,english,"[""Is"", ""Fun"", ""Swimming"", ""None""]",2
e41,What is the main idea of a paragraph?,medium,english,"[""The first sentence"", ""The central focus"", ""The last sentence"", ""The longest sentence""]",1
e42,Which sentence is in the future tense?,medium,english,"[""She walks to school."", ""She walked to school."", ""She will walk to school."", ""She was walking to school.""]",2
e43,"What is the meaning of the prefix ""un-""?",medium,english,"[""Not"", ""Again"", ""Before"", ""After""]",0
e44,"Which word is a synonym for ""cautious""?",medium,english,"[""Careless"", ""Careful"", ""Reckless"", ""Bold""]",1
e45,"What is the correct form of the possessive pronoun for ""it""?",medium,english,"[""It's"", ""Its"", ""It"", ""Itself""]",1
e46,Which sentence uses parallel structure?,medium,english,"[""She likes to run, swim, and dancing."", ""She likes running, swimming, and dancing."", ""She likes to run, swimming, and dance."", ""She likes running, to swim, and dance.""]",1
e47,"What is the meaning of the word ""ambiguous""?",medium,english,"[""Clear"", ""Uncertain"", ""Simple"", ""Direct""]",1
e48,Which sentence is a compound sentence?,medium,english,"[""I went to the park."", ""I went to the park, and I played soccer."", ""I went to the park quickly."", ""I went to the park yesterday.""]",1
e49,"What is the correct form of the verb in: ""If I ___ you,  I would study.""?",medium,english,"[""Was"", ""Were"", ""Am"", ""Be""]",1
e50,"Which word is an antonym for ""ancient""?",medium,english,"[""Old"", ""Modern"", ""Historic"", ""Aged""]",1
