id,questionText,difficulty,type,options,correctAnswerIndex
cq1,What is the primary function of a CPU?,easy,computer,"[""Process data"", ""Store data"", ""Display data"", ""Connect to the internet""]",0
cq2,Which of these is an operating system?,easy,computer,"[""Microsoft Word"", ""Windows"", ""Linux Mint"", ""Google Chrome""]",1
cq3,What does RAM stand for?,easy,computer,"[""Random Access Memory"", ""Read Always Memory"", ""Run Application Module"", ""Remote Access Monitor""]",0
cq4,Which file extension is used for Python scripts?,easy,computer,"["".java"", "".py"", "".cpp"", "".html""]",1
cq5,What is a bit?,easy,computer,"[""A type of software"", ""A binary digit"", ""A storage device"", ""A programming language""]",1
cq6,Which key is used to copy selected text?,easy,computer,"[""Ctrl+V"", ""Ctrl+C"", ""Ctrl+X"", ""Ctrl+Z""]",1
cq7,What is a web browser?,easy,computer,"[""A programming language"", ""A search engine"", ""Software to access the internet"", ""A type of hardware""]",2
cq8,Which of these is a peripheral device?,easy,computer,"[""CPU"", ""Mouse"", ""RAM"", ""Hard Drive""]",1
cq9,What does USB stand for?,easy,computer,"[""Universal Serial Bus"", ""Unique System Buffer"", ""Ultra Speed Backup"", ""User Service Block""]",0
cq10,What is the purpose of a firewall?,easy,computer,"[""Speed up internet"", ""Protect against unauthorized access"", ""Store files"", ""Run applications""]",1
cq11,Which of these is a cloud storage service?,easy,computer,"[""Google Drive"", ""Microsoft Excel"", ""Adobe Photoshop"", ""Windows Explorer""]",0
cq12,What is the common term for unwanted email?,easy,computer,"[""Phishing"", ""Spam"", ""Thread"", ""Draft""]",1
cq13,Which device is used to convert digital signals to analog signal?,easy,computer,"[""Router"", ""Modem"", ""Switch"", ""Hub""]",1
cq14,What is the file extension for a Word document?,easy,computer,"["".docx"", "".pdf"", "".txt"", "".jpg""]",0
cq15,Which of these is an input device?,easy,computer,"[""Monitor"", ""Speakers"", ""Keyboard"", ""Printer""]",2
cq16,What does GUI stand for?,easy,computer,"[""General User Input"", ""Graphical User Interface"", ""Global Unit Identifier"", ""Guided Utility Interface""]",0
cq17,What is the purpose of an IP address?,easy,computer,"[""Identify a device on a network"", ""Store data"", ""Run software"", ""Encrypt files""]",0
cq18,Which of these is a programming language?,easy,computer,"[""HTML"", ""SQL"", ""JSON"", ""YAML""]",1
cq19,What is a byte?,easy,computer,"[""8 bits"", ""1024 bits"", ""4 bits"", ""16 bits""]",0
cq20,Which key combination locks a computer screen in Windows?,easy,computer,"[""Ctrl+Alt+Del"", ""Win+L"", ""Alt+F4"", ""Shift+Esc""]",1
cq21,What is the function of a spreadsheet software?,easy,computer,"[""Edit images"", ""Manage data in tables"", ""Write code"", ""Play videos""]",1
cq22,Which of these is a type of computer memory that is non-volatile?,easy,computer,"[""RAM"", ""Cache"", ""ROM"", ""Virtual Memory""]",2
cq23,What does HTTP stand for?,easy,computer,"[""HyperText Transfer Protocol"", ""High Throughput Terminal"", ""Hybrid Text Processor"", ""Host Terminal Protocol""]",0
cq24,Which of these is a type of software license?,easy,computer,"[""Open Source"", ""Closed Source"", ""Proprietary"", ""All of the above""]",0
cq25,What is the purpose of a GPU?,easy,computer,"[""Run the operating system"", ""Process graphics"", ""Store data"", ""Connect to networks""]",1
cq26,Which of these is a database management system?,easy,computer,"[""MySQL"", ""Apache"", ""Notepad"", ""Photoshop""]",0
cq27,What is a common format for compressed files?,easy,computer,"["".zip"", "".exe"", "".doc"", "".mp3""]",0
cq28,Which device is used to connect networks?,easy,computer,"[""Router"", ""Monitor"", ""Keyboard"", ""Speaker""]",0
cq29,What is the purpose of a text editor?,easy,computer,"[""Edit code or plain text"", ""Play music"", ""Design graphics"", ""Manage databases""]",0
cq30,Which of these is a type of computer port?,easy,computer,"[""USB"", ""CPU"", ""RAM"", ""SSD""]",0
cq31,What is time complexity of a binary search algorithm?,medium,computer,"[""O(n)"", ""O(log n)"", ""O(n^2)"", ""O(1)""]",1
cq32,Which data structure uses LIFO principle?,medium,computer,"[""Queue"", ""Stack"", ""Array"", ""Linked List""]",1
cq33,What is the purpose of a DNS server?,medium,computer,"[""Store files"", ""Translate domain names to IP addresses"", ""Encrypt data"", ""Run applications""]",1
cq34,Which of these is a version control system?,medium,computer,"[""Git"", ""Jenkins"", ""Docker"", ""Kubernetes""]",0
cq35,What is the difference between HTTP and HTTPS?,medium,computer,"[""HTTPS is faster"", ""HTTPS uses encryption"", ""HTTP is more secure"", ""HTTP uses SSL""]",1
cq36,Which sorting algorithm has the best average-case time complexity?,medium,computer,"[""Bubble Sort"", ""Quick Sort"", ""Selection Sort"", ""Insertion Sort""]",1
cq37,What is a primary key in a database?,medium,computer,"[""A backup key"", ""Uniquely identifies a record"", ""A foreign key"", ""A default value""]",1
cq38,Which protocol is used for secure file transfer?,medium,computer,"[""FTP"", ""SFTP"", ""HTTP"", ""Telnet""]",1
cq39,What is the purpose of a virtual machine?,medium,computer,"[""Run multiple OS on one computer"", ""Increase internet speed"", ""Store data"", ""Edit code""]",0
cq40,Which of these is a NoSQL database?,medium,computer,"[""MySQL"", ""PostgreSQL"", ""MongoDB"", ""Oracle""]",2
cq41,What is a deadlock in operating systems?,medium,computer,"[""A fast process"", ""A process waiting indefinitely"", ""A crashed program"", ""A secure thread""]",1
cq42,Which layer of the OSI model handles data routing?,medium,computer,"[""Physical"", ""Data Link"", ""Network"", ""Application""]",2
cq43,What is the purpose of a compiler?,medium,computer,"[""Run code"", ""Translate code to machine language"", ""Debug code"", ""Store code""]",1
cq44,Which of these is a client-side scripting language?,medium,computer,"[""Python"", ""PHP"", ""JavaScript"", ""SQL""]",2
cq45,What is a foreign key in a database?,medium,computer,"[""A unique identifier"", ""A key linking tables"", ""A default value"", ""A backup key""]",1
