id,questionText,difficulty,type,options,correctAnswerIndex
m1,What is 5 + 7?,easy,mathematics,"[""10"", ""11"", ""12"", ""13""]",2
m2,What is the value of 3 * 4?,easy,mathematics,"[""7"", ""12"", ""9"", ""15""]",1
m3,What is 20 / 5?,easy,mathematics,"[""2"", ""3"", ""4"", ""5""]",2
m4,What is the perimeter of a square with side length 6?,easy,mathematics,"[""12"", ""18"", ""24"", ""36""]",2
m5,What is 15 - 8?,easy,mathematics,"[""6"", ""7"", ""8"", ""9""]",1
m6,What is the value of 2^3?,easy,mathematics,"[""6"", ""8"", ""10"", ""12""]",1
m7,What is the area of a rectangle with length 5 and width 3?,easy,mathematics,"[""8"", ""15"", ""10"", ""18""]",1
m8,Which of these is an even number?,easy,mathematics,"[""3"", ""5"", ""6"", ""7""]",2
m9,What is 10% of 50?,easy,mathematics,"[""5"", ""10"", ""15"", ""20""]",0
m10,What is the value of 9 + 6 - 4?,easy,mathematics,"[""10"", ""11"", ""12"", ""13""]",1
m11,"What is the next number in the sequence: 2, 4, 6, 8?",easy,mathematics,"[""9"", ""10"", ""11"", ""12""]",1
m12,What is 1/2 of 16?,easy,mathematics,"[""6"", ""7"", ""8"", ""9""]",2
m13,What is the value of 7 * 0?,easy,mathematics,"[""0"", ""7"", ""14"", ""1""]",0
m14,What is the circumference of a circle with radius 2 (use pi ÷ 3.14)?,easy,mathematics,"[""6.28"", ""12.56"", ""9.42"", ""18.84""]",1
m15,What is 100 - 25?,easy,mathematics,"[""70"", ""75"", ""80"", ""85""]",1
m16,Which of these is a prime number?,easy,mathematics,"[""4"", ""6"", ""7"", ""9""]",2
m17,What is the value of 4 + 5 * 2?,easy,mathematics,"[""14"", ""18"", ""10"", ""12""]",2
m18,What is the area of a square with side length 4?,easy,mathematics,"[""8"", ""12"", ""16"", ""20""]",2
m19,What is 3/4 as a decimal?,easy,mathematics,"[""0.5"", ""0.75"", ""0.25"", ""1.0""]",1
m20,What is the value of 12 / 3 + 1?,easy,mathematics,"[""3"", ""4"", ""5"", ""6""]",2
m21,What is 20% of 100?,easy,mathematics,"[""10"", ""20"", ""30"", ""40""]",1
m22,What is the value of 2 + 3 * 4?,easy,mathematics,"[""20"", ""14"", ""10"", ""12""]",1
m23,What is the perimeter of a rectangle with length 5 and width 3?,easy,mathematics,"[""10"", ""15"", ""16"", ""18""]",2
m24,Which of these is a multiple of 5?,easy,mathematics,"[""12"", ""14"", ""15"", ""17""]",2
m25,What is the value of 6^2?,easy,mathematics,"[""12"", ""24"", ""36"", ""48""]",2
m26,What is 1/3 of 12?,easy,mathematics,"[""3"", ""4"", ""5"", ""6""]",1
m27,What is the value of 8 - 2 * 3?,easy,mathematics,"[""2"", ""6"", ""4"", ""8""]",0
m28,What is the area of a triangle with base 6 and height 4?,easy,mathematics,"[""12"", ""24"", ""10"", ""16""]",0
m29,What is 25% of 80?,easy,mathematics,"[""10"", ""15"", ""20"", ""25""]",2
m30,"What is the next number in the sequence: 5, 10, 15, 20?",easy,mathematics,"[""25"", ""30"", ""35"", ""40""]",0
m31,Solve for x: 2x + 3 = 11,medium,mathematics,"[""3"", ""4"", ""5"", ""6""]",1
m32,What is the slope of the line y = 3x + 2?,medium,mathematics,"[""2"", ""3"", ""1"", ""4""]",1
m33,What is the value of sin(30 deg)?,medium,mathematics,"[""0"", ""0.5"", ""1"", ""0.866""]",1
m34,What is the solution to the equation x^2 - 4 = 0?,medium,mathematics,"[""x = 2"", ""x = -2"", ""x = ñ2"", ""x = 4""]",2
m35,What is the value of log2(8)?,medium,mathematics,"[""2"", ""3"", ""4"", ""5""]",1
m36,What is the sum of the angles in a triangle?,medium,mathematics,"[""90 deg"", ""180 deg"", ""270 deg"", ""360 deg""]",1
m37,What is the value of 5! (5 factorial)?,medium,mathematics,"[""60"", ""120"", ""240"", ""720""]",1
m38,Solve for x: 3x - 5 = 10,medium,mathematics,"[""3"", ""4"", ""5"", ""6""]",2
m39,What is the area of a circle with radius 5 (use pi ÷ 3.14)?,medium,mathematics,"[""15.7"", ""31.4"", ""78.5"", ""157""]",2
m40,What is the value of cos(60 deg)?,medium,mathematics,"[""0"", ""0.5"", ""1"", ""0.866""]",1
m41,What is the probability of rolling a 4 on a six-sided die?,medium,mathematics,"[""1/6"", ""1/4"", ""1/3"", ""1/2""]",0
m42,What is the value of 2x^2 + 3 when x = 2?,medium,mathematics,"[""11"", ""13"", ""15"", ""17""]",0
m43,"What is the solution to the system: x + y = 5, x - y = 1?",medium,mathematics,"[""(2, 3)"", ""(3, 2)"", ""(4, 1)"", ""(1, 4)""]",1
m44,What is the value of tan(45 deg)?,medium,mathematics,"[""0"", ""0.5"", ""1"", ""2""]",2
m45,What is the sum of the first 5 positive integers?,medium,mathematics,"[""10"", ""15"", ""20"", ""25""]",1
m46,What is the value of 3^4?,medium,mathematics,"[""27"", ""64"", ""81"", ""100""]",2
m47,Solve for x: 4x + 2 = 18,medium,mathematics,"[""3"", ""4"", ""5"", ""6""]",1
m48,What is the volume of a cube with side length 3?,medium,mathematics,"[""9"", ""18"", ""27"", ""36""]",2
m49,What is the value of log10(100)?,medium,mathematics,"[""1"", ""2"", ""3"", ""4""]",1
m50,"What is the midpoint of the line segment from (2, 3) to (6, 7)?",medium,mathematics,"[""(3, 4)"", ""(4, 5)"", ""(5, 6)"", ""(6, 7)""]",1
m51,What is the value of siný(30 deg) + cosý(30 deg)?,medium,mathematics,"[""0"", ""0.5"", ""1"", ""2""]",2
m52,What is the value of 7 choose 2 (7C2)?,medium,mathematics,"[""14"", ""21"", ""28"", ""35""]",1
m53,Solve for x: x^2 - 5x + 6 = 0,medium,mathematics,"[""x = 2, 3"", ""x = 1, 6"", ""x = -2, -3"", ""x = 0, 5""]",0
m54,What is the surface area of a sphere with radius 2 (use pi ÷ 3.14)?,medium,mathematics,"[""12.56"", ""25.12"", ""50.24"", ""100.48""]",2
m55,What is the value of e^0?,medium,mathematics,"[""0"", ""1"", ""2"", ""e""]",1
m56,What is the probability of drawing a red card from a standard deck?,medium,mathematics,"[""1/4"", ""1/2"", ""1/3"", ""2/3""]",1
m57,What is the value of 4x - 3 when x = 5?,medium,mathematics,"[""17"", ""18"", ""19"", ""20""]",0
m58,"What is the sum of an arithmetic sequence with first term 2, last term 20, and 10 terms?",medium,mathematics,"[""110"", ""120"", ""130"", ""140""]",0
m59,What is the value of arcsin(0.5)?,medium,mathematics,"[""30 deg"", ""45 deg"", ""60 deg"", ""90 deg""]",0
m60,"What is the slope-intercept form of the line passing through (0, 2) and (2, 4)?",medium,mathematics,"[""y = x + 2"", ""y = 2x + 2"", ""y = x + 4"", ""y = 2x + 4""]",0
m61,What is the derivative of x^3?,hard,mathematics,"[""3x"", ""3x^2"", ""x^3"", ""x^2""]",1
m62,What is the integral of 2x dx?,hard,mathematics,"[""x"", ""x^2"", ""2x^2"", ""x^3""]",1
m63,What is the limit of (x^2 - 1)/(x - 1) as x approaches 1?,hard,mathematics,"[""0"", ""1"", ""2"", ""undefined""]",2
m64,"What is the value of the determinant of the matrix [[1, 2], [3, 4]]?",hard,mathematics,"[""-2"", ""2"", ""-10"", ""10""]",0
m65,What is the solution to the differential equation dy/dx = y?,hard,mathematics,"[""y = x"", ""y = e^x"", ""y = x^2"", ""y = ln(x)""]",1
m66,What is the order of the group Z_6 under addition?,hard,mathematics,"[""3"", ""4"", ""5"", ""6""]",2
m67,What is the value of the infinite series 1 + 1/2 + 1/4 + 1/8 + ...?,hard,mathematics,"[""1"", ""2"", ""3"", ""4""]",1
m68,"What is the eigenvalue of the matrix [[2, 0], [0, 3]] corresponding to the eigenvector [1, 0]?",hard,mathematics,"[""2"", ""3"", ""1"", ""0""]",0
m69,What is the Fourier transform of a constant function f(x) = 1?,hard,mathematics,"[""A constant"", ""A delta function"", ""A sine function"", ""A cosine function""]",1
m70,What is the radius of convergence of the series sum (x^n)/n!?,hard,mathematics,"[""0"", ""1"", ""infinity"", ""2""]",2
m71,"What is the value of the double integral ??(x + y) dx dy over the unit square [0, 1]x[0, 1]?",hard,mathematics,"[""0"", ""1"", ""2"", ""3""]",1
m72,What is the Laplace transform of t?,hard,mathematics,"[""1/s"", ""1/s^2"", ""s"", ""s^2""]",1
m73,What is the dimension of the vector space of 2x2 matrices over the real numbers?,hard,mathematics,"[""2"", ""3"", ""4"", ""5""]",2
m74,What is the value of the Riemann zeta function at s = 2?,hard,mathematics,"[""ã/6"", ""ã^2/6"", ""ã/4"", ""ã^2/4""]",1
m75,What is the order of the symmetric group S_4?,hard,mathematics,"[""12"", ""24"", ""36"", ""48""]",1
m76,What is the derivative of sin(x^2)?,hard,mathematics,"[""cos(x^2)"", ""2x cos(x^2)"", ""sin(2x)"", ""2x sin(x^2)""]",1
m77,What is the value of ?(x^2 + 1) dx from 0 to 1?,hard,mathematics,"[""4/3"", ""5/3"", ""2/3"", ""1/3""]",0
m78,"What is the rank of the matrix [[1, 2, 3], [4, 5, 6], [7, 8, 9]]?",hard,mathematics,"[""1"", ""2"", ""3"", ""4""]",1
m79,What is the probability density function of a standard normal distribution?,hard,mathematics,"[""e^(-x^2)"", ""(1/û(2ã)) e^(-x^2/2)"", ""e^(-x)"", ""1/û(2ã)""]",1
m80,"What is the kernel of the linear transformation T(x, y) = (x + y, x - y)?",hard,mathematics,"[""{(0, 0)}"", ""{(x, x)}"", ""{(x, -x)}"", ""{(x, 0)}""]",2
m81,What is the value of the contour integral ?(1/z) dz around the unit circle?,hard,mathematics,"[""0"", ""2ãi"", ""ãi"", ""1""]",1
m82,What is the generating function for the Fibonacci sequence?,hard,mathematics,"[""x/(1 - x - x^2)"", ""x/(1 - x)"", ""x/(1 + x)"", ""x^2/(1 - x)""]",0
m83,"What is the solution to the recurrence relation a_n = a_(n-1) + a_(n-2) with a_0 = 0, a_1 = 1?",hard,mathematics,"[""Fibonacci sequence"", ""Geometric sequence"", ""Arithmetic sequence"", ""Exponential sequence""]",0
m84,What is the value of the Legendre symbol (5/11)?,hard,mathematics,"[""-1"", ""0"", ""1"", ""2""]",2
m85,"What is the characteristic polynomial of the matrix [[0, 1], [-1, 0]]?",hard,mathematics,"[""?^2 + 1"", ""?^2 - 1"", ""?^2"", ""?^2 + 2""]",0
m86,What is the value of the Gaussian integral ? e^(-x^2) dx from -ì to ì?,hard,mathematics,"[""1"", ""ûã"", ""ã"", ""2ã""]",1
m87,"What is the orthogonal complement of the subspace spanned by (1, 0, 0) in R^3?",hard,mathematics,"[""Span{(0, 1, 0), (0, 0, 1)}"", ""Span{(1, 0, 0)}"", ""Span{(0, 1, 0)}"", ""Span{(0, 0, 1)}""]",0
m88,What is the value of the Euler characteristic of a torus?,hard,mathematics,"[""0"", ""1"", ""2"", ""3""]",0
m89,What is the minimal polynomial of û2 over the rationals?,hard,mathematics,"[""x - û2"", ""x^2 - 2"", ""x^2 + 2"", ""x - 2""]",1
m90,What is the value of the M”bius function ?(12)?,hard,mathematics,"[""-1"", ""0"", ""1"", ""2""]",0
